pickup_borough,pickup_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Brooklyn,Prospect-Lefferts Gardens,629,19403.07,30.847488076311606,27.0,6.2202384737678855,39.13887122416534,14.240623359885902,1.6357437789293512,0.02193139205065489
Queens,Jamaica,621,33051.57,53.22314009661836,43.0,9.289468599033817,30.300080515297903,53.54933723449703,5.345001847358712,0.021652455426799187
Brooklyn,DUMBO/Vinegar Hill,614,20291.58,33.048175895765475,29.02,67.21330618892509,20.57643865363735,24.226361679887855,14.09479341251961,0.021408385880925442
Queens,South Ozone Park,603,38350.88,63.60013266998341,51.0,6.538524046434494,21.698009950248757,225.32288927790108,2329.504127715099,0.021024848023123845
Brooklyn,Canarsie,598,23228.03,38.842859531772575,35.0,8.796137123745819,47.26658305462654,7.490621664309298,1.5605806702945766,0.02085051263321403
Queens,Steinway,565,26672.03,47.20713274336283,38.29,6.020814159292036,20.77061946902655,44.249633505294426,12.1720117717173,0.01969989905980924
Brooklyn,East Williamsburg,551,19436.78,35.275462794918326,30.05,5.364392014519057,21.661464004839686,58.96771530558018,10.22357031382815,0.019211759968061758
Queens,Queensbridge/Ravenswood,546,15203.03,27.84437728937729,24.45,4.537271062271062,21.372069597069597,39.55225875046511,7.3377056555747044,0.01903742457815194
Queens,Old Astoria,537,13866.87,25.822849162011174,23.0,4.139702048417132,18.76623215394165,10.099998539483595,6.559661075615272,0.01872362087631427
Brooklyn,Greenpoint,533,15702.28,29.46018761726079,28.38,4.48343339587242,19.086272670419014,27.65125238003212,12.128323756802976,0.018584152564386416
Queens,South Jamaica,526,33440.409999999996,63.574923954372615,57.769999999999996,11.25709125475285,37.35348542458809,28.58154905064299,7.850533716429659,0.018340083018512674
Brooklyn,Flatbush/Ditmas Park,502,17223.02,34.30880478087649,28.5,6.881812749003984,41.02413678618858,29.404943931654053,1.8016913466243467,0.017503273146945556
Brooklyn,Stuyvesant Heights,498,15698.09,31.52226907630522,28.0,5.946827309236948,36.78617804551539,19.848646302133577,2.4256685629713166,0.017363804835017704
Brooklyn,Cobble Hill,493,14281.66,28.968884381338743,25.9,4.209350912778905,20.311020960108184,10.888539679781138,15.83648141991505,0.017189469445107887
Brooklyn,Brownsville,488,15688.85,32.149282786885244,27.54,6.71875,44.76045081967213,8.623262251796241,0.1668594440891971,0.017015134055198073
Queens,Forest Hills,475,15427.92,32.47983157894737,27.86,5.858526315789474,26.866350877192982,9.953301694477359,4.340251176523141,0.01656186204143255
Brooklyn,Bushwick South,468,15360.87,32.8223717948718,30.0,5.739423076923077,29.684650997150996,34.36752113238356,4.269635897068679,0.016317792495558807
Queens,Elmhurst,461,18371.49,39.85138828633406,29.0,5.017852494577006,22.147758496023137,27.460296368201547,6.222360980787628,0.016073722949685062
Queens,Flushing Meadows-Corona Park,459,35221.93,76.73623093681917,85.94,9.101350762527234,19.930646332607115,42.35595072690496,14.148461060475595,0.016003988793721138
Brooklyn,Clinton Hill,450,14463.5,32.14111111111111,28.0,5.787577777777777,31.375333333333334,20.105875652058895,6.577818480589767,0.01569018509188347
Brooklyn,Bedford,446,13331.48,29.891210762331838,26.0,5.181614349775785,31.545515695067262,18.84323587033072,3.8374957484303907,0.015550716779955613
Bronx,Mott Haven/Port Morris,436,12847.65,29.467087155963302,27.744999999999997,5.432660550458715,26.62901376146789,34.544830823618675,1.9697780131709741,0.015202046000135982
Queens,Richmond Hill,407,18325.24,45.02515970515971,36.0,6.574152334152334,28.979975429975433,122.60029507345702,4.018832124426699,0.014190900738659046
Queens,Springfield Gardens South,401,29269.7,72.99177057356609,72.48,12.916234413965087,36.88221113881962,40.220069123916026,11.557768545768633,0.013981698270767269
Brooklyn,East Flatbush/Remsen Village,395,12993.77,32.89562025316456,30.0,6.900860759493671,42.2257805907173,8.269741570417162,0.06802199207262498,0.01377249580287549
