dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Queens,South Jamaica,860,28833.51,33.527337209302324,28.35,6.314104651162791,21.19951550387597,19.92955061440084,4.2695202725631844,0.0299856870644884
Brooklyn,Midwood,856,54730.24,63.93719626168224,69.565,12.731822429906543,38.77891355140187,6.3927367960624935,9.722965875152083,0.02984621875256055
Queens,Middle Village,854,40355.96,47.2552224824356,47.85,8.155374707259952,25.97749804839969,8.354344574346628,11.869821634463007,0.02977648459659662
Queens,Corona,845,35322.78,41.80210650887574,42.3,8.023254437869822,24.22913214990138,6.200574678290052,5.190041054644074,0.029462680894758956
Queens,Kew Gardens Hills,826,34755.87,42.07732445520581,39.25,7.559975786924939,22.151795803066992,13.733832331213561,10.535181410545862,0.028800206413101652
Queens,Flushing Meadows-Corona Park,805,32591.98,40.48693167701863,36.65,8.065565217391304,17.67728778467909,13.289766753030138,4.6703707016123905,0.028067997775480424
Brooklyn,Flatlands,802,41256.21,51.441658354114715,53.599999999999994,10.624139650872817,36.531546134663344,11.846452253554014,5.196726426194941,0.027963396541534537
Brooklyn,Ocean Hill,762,34647.47,45.46912073490814,47.15,8.416167979002624,32.76408573928259,8.561008934410548,7.419605178963167,0.026568713422256005
Brooklyn,Brownsville,755,31780.38,42.09321854304636,43.65,8.38569536423841,36.30708609271523,6.626946921088453,2.5942872426622805,0.02632464387638226
Queens,Elmhurst/Maspeth,731,29327.37,40.11952120383037,38.2,6.761833105335157,23.451618787049707,10.819003263397011,8.215984331424577,0.025487834004815142
Brooklyn,Gowanus,731,40207.59,55.00354309165526,51.8,9.27467852257182,31.919676242590057,7.446821534850082,17.203353998733345,0.025487834004815142
Queens,Springfield Gardens North,729,23400.86,32.099945130315504,26.15,6.166982167352537,21.166620941929583,7.915352451844201,6.856803551897672,0.025418099848851215
Brooklyn,Kensington,726,48540.28,66.85988980716253,66.05,12.9332782369146,34.15532598714417,5.7627549233818405,14.667174110186114,0.02531349861490533
Brooklyn,Marine Park/Mill Basin,723,41001.46,56.710179806362376,57.06,12.231009681881051,30.23298755186722,5.374886924859818,7.668582217381675,0.025208897380959435
Bronx,Melrose South,702,28179.01,40.141039886039884,36.209999999999994,7.1608404558404555,27.09741215574549,10.621738619889953,6.560774888017758,0.02447668874333821
Bronx,West Concourse,697,30977.05,44.44340028694405,40.8,8.113328550932568,27.16202773792444,7.21607240367731,7.984062643429176,0.024302353353428393
Queens,Queens Village,693,33182.85,47.88290043290043,47.55,10.601313131313132,30.570875420875417,6.41050168674689,4.98441077697344,0.02416288504150054
Brooklyn,East Flatbush/Farragut,688,33614.85,48.85879360465116,50.725,9.457122093023257,38.54920058139535,9.351011619617873,4.809661720120124,0.023988549651590724
Queens,Woodhaven,669,27012.23,40.37702541106128,36.91,7.735710014947682,25.647633283507723,10.203283597902137,5.956430104893463,0.02332607516993342
Queens,Rosedale,665,24034.53,36.14215037593985,31.75,7.169744360902256,20.00293233082707,9.40354020760022,7.24925284775654,0.023186606858005568
Queens,Jamaica Estates,658,30602.53,46.50840425531915,45.25,9.22095744680851,26.137943262411348,6.151551421804695,7.790971942830159,0.022942537312131826
Queens,Howard Beach,658,25226.07,38.337492401215805,31.87,7.247781155015198,21.130420466058766,9.326633919735924,8.039711410563974,0.022942537312131826
Queens,Hillcrest/Pomonok,653,28862.43,44.19973966309342,42.65,8.658836140888209,26.167177131189383,5.836523873660045,7.83391240543814,0.02276820192222201
Queens,Cambria Heights,618,26245.86,42.46902912621359,37.75,9.223220064724918,25.55604099244876,6.5659546115537255,5.357332115534443,0.021547854192853298
Brooklyn,Homecrest,608,39103.6,64.31513157894737,69.275,13.931019736842105,37.222971491228066,6.732297320661306,6.632041926285518,0.021199183413033663
Brooklyn,Columbia Street,571,31830.97,55.746007005253944,50.85,9.543975481611207,29.101546993578516,7.195915353369414,19.374225779942734,0.01990910152770102
Queens,Laurelton,566,21379.12,37.77229681978798,32.295,7.762491166077738,22.82137809187279,5.5188066004520415,6.4392297699170715,0.019734766137791206
Queens,Far Rockaway,562,29059.67,51.70759786476868,47.22,11.320836298932385,37.211061684460255,6.768440351121431,6.666914786321224,0.01959529782586335
Brooklyn,Cypress Hills,555,22589.57,40.701927927927926,37.35,8.239225225225226,26.84852852852853,12.27994637566617,5.2004231467115725,0.01935122827998961
Queens,North Corona,539,22532.67,41.80458256029684,44.05,7.404953617810761,25.06762523191095,6.790026273550719,6.049354795282376,0.018793355032278195
Bronx,Co-Op City,530,31978.87,60.33749056603774,58.46,13.689075471698112,41.19261006289308,7.644620971340687,3.254305471930291,0.018479551330440526
Bronx,Soundview/Castle Hill,528,28685.76,54.32909090909091,51.745000000000005,10.95035984848485,33.163099747474746,9.443606807833076,4.405899190139226,0.018409817174476602
Queens,Glendale,512,23938.08,46.7540625,47.625,8.6333984375,28.296842447916667,6.864059049410419,12.650636074590414,0.01785194392676519
Brooklyn,Coney Island,506,31031.33,61.32673913043479,63.599999999999994,13.906501976284584,40.95678524374177,14.205092089749474,4.837422561201931,0.01764274145887341
Brooklyn,Sheepshead Bay,504,31832.55,63.159821428571426,62.4,14.024900793650794,38.61994047619048,5.594762605890066,6.995211013522309,0.017573007302909484
Queens,Whitestone,501,24985.37,49.870998003992014,46.94,9.832175648702595,22.15362608117099,6.206918077276171,9.404930560223518,0.017468406068963594
Queens,Murray Hill-Queens,492,24788.6,50.38333333333333,48.525,9.543211382113821,26.87581300813008,7.7997939816186745,9.275333256999922,0.017154602367125925
Queens,Bayside,473,27964.02,59.120549682875264,58.35,12.008181818181818,25.835729386892176,9.346037102074932,11.454598091054653,0.01649212788546862
Bronx,Williamsbridge/Olinville,465,29410.41,63.2481935483871,64.69,13.607677419354838,38.79562724014337,6.516570990955605,4.86929007893425,0.016213191261612917
Brooklyn,Sunset Park East,460,31216.01,67.86089130434782,64.625,14.149826086956521,38.950036231884056,15.054312087832846,9.37950038465056,0.0160388558717031
Brooklyn,Bensonhurst West,460,30522.57,66.35341304347826,72.315,14.419500000000001,39.22644927536232,22.223930052456065,7.070025511808864,0.0160388558717031
Brooklyn,Erasmus,459,24909.74,54.26958605664488,60.44,10.203333333333333,38.72385620915033,6.560360025878073,8.357299731706675,0.016003988793721138
