pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,Flatiron,Manhattan,Central Park,216,6407.3099999999995,29.66347222222222,3.1955092592592593,21.497376543209878,9.773624272784764
Manhattan,Lenox Hill East,Manhattan,Greenwich Village South,215,7371.88,34.287813953488374,4.9421395348837205,20.066821705426356,7.05647056858094
Manhattan,Financial District North,Manhattan,West Chelsea/Hudson Yards,215,6674.58,31.04455813953488,4.106,19.44255813953488,7.658814153657227
Manhattan,Penn Station/Madison Sq West,Brooklyn,Greenpoint,215,9575.18,44.53572093023256,5.065255813953488,25.991782945736436,9.207764513711936
Manhattan,Penn Station/Madison Sq West,Queens,Long Island City/Hunters Point,214,7906.72,36.94728971962617,3.984018691588785,22.496728971962618,9.743654042278127
Manhattan,Times Sq/Theatre District,Manhattan,Chinatown,214,7308.18,34.1503738317757,4.287990654205608,26.12834890965732,8.14809840252095
Manhattan,Lower East Side,Manhattan,Battery Park City,214,5324.04,24.878691588785045,2.9537383177570096,13.714953271028037,9.031404195486243
Manhattan,Yorkville East,Manhattan,TriBeCa/Civic Center,214,9173.61,42.86733644859813,7.675467289719626,21.952881619937695,5.615136869400098
Queens,LaGuardia Airport,Queens,Elmhurst,214,7143.16,33.379252336448594,4.107710280373832,16.971495327102804,8.64252008122604
Manhattan,East Village,Brooklyn,Williamsburg (North Side),214,6436.67,30.077897196261684,3.568317757009346,18.436370716510904,8.56201537290929
Manhattan,Yorkville West,Manhattan,West Village,214,8330.04,38.92542056074767,5.399719626168224,26.520794392523364,7.314340266534368
Manhattan,Financial District South,Manhattan,Midtown East,214,7586.29,35.449953271028036,5.596401869158878,17.089797507788163,6.374922434882602
Queens,East Elmhurst,Manhattan,Upper East Side North,214,13205.78,61.7092523364486,8.377196261682244,21.649766355140187,7.375918186978304
Manhattan,East Chelsea,EWR,Newark Airport,213,25524.38,119.83276995305165,16.953427230046948,31.27605633802817,7.091223523210232
Manhattan,Flatiron,Manhattan,Alphabet City,213,4712.73,22.125492957746477,2.091361502347418,14.603912363067293,10.704863832685438
Manhattan,World Trade Center,Manhattan,Greenwich Village South,213,4411.2,20.70985915492958,1.8924413145539905,12.41283255086072,11.48393844575276
Manhattan,Battery Park City,Manhattan,Lower East Side,213,5741.06,26.953333333333337,3.333380281690141,14.458059467918623,8.702030005873516
Manhattan,Upper West Side South,Manhattan,Battery Park City,213,8561.37,40.19422535211268,6.0130516431924885,25.948591549295777,6.734784077871826
Manhattan,Bloomingdale,Manhattan,Upper East Side South,213,5688.74,26.707699530516432,2.994600938967136,17.502425665101722,8.956848741699496
Manhattan,Midtown North,Manhattan,Financial District North,213,8676.64,40.73539906103286,6.250234741784038,25.83075117370892,6.570388680664665
Manhattan,Penn Station/Madison Sq West,Manhattan,Central Harlem North,212,9130.1,43.06650943396227,6.847358490566038,27.877044025157232,6.365595100318387
Manhattan,Union Sq,Manhattan,Financial District South,212,6614.84,31.202075471698112,4.273254716981132,18.450314465408805,7.4988842045149555
Manhattan,West Village,Brooklyn,Brooklyn Heights,212,6316.43,29.79448113207547,3.6766981132075474,18.426729559748427,8.174798185671829
Manhattan,Clinton West,Manhattan,West Village,211,5112.82,24.231374407582937,2.750521327014218,15.095734597156397,8.921762600644993
Queens,JFK Airport,Queens,Bellerose,211,10653.67,50.49132701421801,10.721137440758293,20.258925750394944,4.715538864596645
Manhattan,East Chelsea,Manhattan,Chinatown,211,6301.22,29.863601895734597,3.308578199052133,21.48515007898894,9.343677518975314
Manhattan,Murray Hill,Queens,Long Island City/Hunters Point,211,6490.82,30.76218009478673,2.853696682464455,14.681911532385465,11.64471523310107
Manhattan,Lenox Hill East,Unknown,Unknown,211,4816.3,22.826066350710903,1.9637914691943128,12.118957345971564,76.78958358205368
Manhattan,East Chelsea,Unknown,Outside of NYC,211,21687.77,102.78563981042655,13.110331753554503,29.192180094786732,12.114800210870339
Manhattan,Lincoln Square West,Manhattan,Washington Heights South,211,6859.14,32.507772511848344,5.532748815165877,15.102922590837283,5.955426609639451
Manhattan,Lincoln Square East,Manhattan,Manhattanville,211,6216.42,29.461706161137442,3.953127962085308,16.774170616113743,7.556531156584584
Manhattan,Lower East Side,Manhattan,Yorkville East,211,7439.91,35.26023696682464,5.361563981042654,19.19257503949447,6.623626349012086
Manhattan,Lower East Side,Manhattan,Lincoln Square East,210,7825.96,37.26647619047619,5.133285714285714,25.87753968253968,7.304761424622522
Queens,LaGuardia Airport,Manhattan,Alphabet City,210,13916.79,66.27042857142858,10.361190476190476,25.72047619047619,6.461100576568871
