pickup_day_of_week,pickup_day_name,pickup_hour,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration
3,Thursday,1,2500,69208.61,27.683444,3.920176,12.214066666666668
3,Thursday,2,1399,38189.73,27.297877055039315,3.912709077912795,12.188515606385513
3,Thursday,3,1004,34194.4,34.05816733067729,5.355906374501992,14.08446215139442
3,Thursday,4,1017,39633.54,38.971032448377585,6.420265486725664,16.17340216322517
3,Thursday,5,2429,86892.21,35.77283244133388,5.8941045697818035,16.52995745848772
3,Thursday,6,6272,177285.69,28.266213329081634,4.3078778698979585,15.688416772959183
3,Thursday,7,13637,342662.91,25.127440786096646,5.687480384248735,15.039456380924447
3,Thursday,8,19659,488337.09,24.840383030672974,7.789358054834935,15.76006154941757
3,Thursday,9,20068,507626.02,25.295296990233208,2.7679923260912895,15.737576406883264
3,Thursday,10,19711,523542.44,26.560927400943637,2.9650195322408806,16.786629293288012
3,Thursday,11,20156,533695.75,26.47825709466164,2.901559833300258,16.913954488324404
3,Thursday,12,21466,574329.54,26.755312587347436,3.0370814311003445,16.840085872232056
3,Thursday,13,21995,607154.85,27.604221413957717,3.206294157763128,17.0100477381223
3,Thursday,14,24239,696144.21,28.72000536325756,3.397118693015388,17.889077519699658
3,Thursday,15,26163,734529.63,28.0751301456255,3.3035901846118567,17.939853992279176
3,Thursday,16,26372,814153.09,30.87187509479751,3.352989913544669,18.047183881894938
3,Thursday,17,30618,891821.92,29.127373440459863,2.9659932066104906,16.959539051102837
3,Thursday,18,32952,899798.51,27.306339827628065,2.719524156348628,14.9731948490734
3,Thursday,19,28210,793917.08,28.14310811768876,3.07534136830911,14.015665248729766
3,Thursday,20,25406,688767.5599999999,27.110429032512002,3.2760950169251357,13.743220761499908
3,Thursday,21,26336,713246.14,27.082553918590524,3.3426777035236936,13.65299653199676
3,Thursday,22,23303,640399.79,27.481431146204354,3.4585971763292283,13.709245590696476
3,Thursday,23,15722,461051.69,29.325256964762755,3.963146546240936,13.96977589789255
4,Friday,0,8429,240476.26,28.52963103571005,3.938088741250445,13.084648238225174
4,Friday,1,4594,124298.87,27.056784936874184,3.711745755333043,12.047783340589175
4,Friday,2,2517,61911.88,24.597489074294796,3.240667461263409,11.29072308303536
4,Friday,3,1648,46218.26,28.04506067961165,4.0214259708737865,12.037904530744337
4,Friday,4,1365,50181.32,36.76287179487179,5.769824175824176,15.763577533577534
4,Friday,5,2459,91905.35,37.375091500610004,27.02312322082147,16.40793005286702
4,Friday,6,5976,177986.86,29.78361111111111,10.007545180722893,16.075666555109326
4,Friday,7,12547,323598.22,25.79088387662389,6.940150633617598,14.997927791503946
4,Friday,8,16848,420444.6,24.955163817663816,3.019514482431149,14.763738524849636
4,Friday,9,17789,453716.76,25.505467423688795,3.0525043566248806,14.823974553563064
4,Friday,10,19095,489387.84,25.629109190887668,2.991890023566379,15.191935061534434
4,Friday,11,19316,494407.33,25.595740836612137,2.9262062538827913,15.37025868019604
4,Friday,12,20415,527814.71,25.854259613029633,3.044280675973549,15.388910931504611
4,Friday,13,21581,563076.0,26.091283999814653,3.120364672628701,15.492014580726876
4,Friday,14,24055,667610.87,27.75351777177302,3.323891082934941,17.107499480357514
4,Friday,15,24836,680904.12,27.416013850861653,5.608806973747785,17.575012079239812
